num,tweets
62,"On the tasting counter: Wine of the Week Catena Alta Chardonnay 2010, Mendoza http://t.co/JDBaE0TdQj"
63,"@JinkxMonsoon Normally, I'd take the milkshake, but after this week at work, I'll take the chardonnay! Xo!  "
64,#Chardonnay Ayyyyy  
65,"On the tasting counter: Septimo D?a Chardonnay 2012, Mendoza http://t.co/XBjnwd4rA6 "
66,RT @DonJon: ?@irishtexan0881: @DonJon You would love Chicken Chardonnay with a cream mushroom sauce.? nah no dairy  
67,"Just to set the mood, girl i brought some marvin gaye and Chardonnay"
68,CHARDONNAY IS SO GROSSE     
69,"Spanish white #wine? Try our #chardonnay SOLAR DE URBEZO, very well valued internationally http://t.co/PmOLps4snY http://t.co/ItsFBSHvRS    "
70,RT @JinkxMonsoon: This is how Jinkx double fists: chocolate milkshake and a polite glass of Chardonnay. http://t.co/DuD04ylk5w      
71,RT @LindsRocksGreen: Well I can tell by this empty bottle of Chardonnay that it is bed time 
72,There are few mental cobwebs a 10km run can't clear. And it leaves you feeling smug. Now for some Chardonnay with lunch and @kerrywhitcomb  
73,The video for Black Skinhead is really odd though... o.O    
74,RT @DonJon: ?@irishtexan0881: @DonJon You would love Chicken Chardonnay with a cream mushroom sauce.? nah no dairy  
75,"On the tasting counter: Mountain View Chardonnay 2012, Luis Felipe Edwards, Central Valley http://t.co/hLByCRdsTT   "
76,@PolperroNews Just reminiscing... The Chardonnay is taking its toll!! Cheers.       
77,RT @DonJon: ?@irishtexan0881: @DonJon You would love Chicken Chardonnay with a cream mushroom sauce.? nah no dairy  
78,RT @DonJon: ?@irishtexan0881: @DonJon You would love Chicken Chardonnay with a cream mushroom sauce.? nah no dairy  
79,#drinking #chardonnay #evansandtate #jimbeam #honey #couplethings #endofmyworkweek #ilovelife #21stglass http://t.co/KXgbRAQfsB     
80,it's a black fly in your chardonnay 
81,RT @DonJon: ?@irishtexan0881: @DonJon You would love Chicken Chardonnay with a cream mushroom sauce.? nah no dairy  
82,@justinmccurry Canned Chardonnay is my favourite bit of your last tweet. I am sure there would be outrage in France at reading that.
83,I'm on the phone with you. ? weirdo lol http://t.co/8P1RiQeJPZ      
84,Faaaaaaarrr too much Chardonnay last night!! #ropey 
85,Guess what I'm doing. ? what you doing? http://t.co/6xbzVKGTiE      
86,RT @onikanomaraj: Chardonnay is legit #carname      
87,"Chardonnay and Courtney pissed me off today.. Fam or not, I aint messing with them no more  "
88,@dirty_14 @RitaPanahi Chardonnay from Footballer's Wives an exception?      
89,Southern Fusion in Buckhead is Horseradish Grill - Chardonnay &amp; Shrimp &amp; Grits http://t.co/F6z6rWemwc       
90,RT @DonJon: ?@irishtexan0881: @DonJon You would love Chicken Chardonnay with a cream mushroom sauce.? nah no dairy  
91,?@irishtexan0881: @DonJon You would love Chicken Chardonnay with a cream mushroom sauce.? nah no dairy      
92,@Mz_Chardonnay I see... but let us stay optimistic yh...!   
93,"It's like our first date... Time past fast, like the flash of a blink, A little chardonnay, lingerie and a mink. http://t.co/YfD66FSEMY     "
94,RT @JinkxMonsoon: This is how Jinkx double fists: chocolate milkshake and a polite glass of Chardonnay. http://t.co/DuD04ylk5w      
95,"Days like these are when I need a glass of chardonnay or chianti, a novel with purpose, or a silent, meaningless round of chess.    "
96,Robert thought that Chardonnay always looked real fine but every time he talked to her the girl she did whine. #PoorRobert  
97,@JCZolanski: Will you still love me when I'm no longer young and beautiful &lt;-- love this song :) 
98,@tnak21 I've just got a lot to do today mate
99,"RT @DeBortoliWines: @vitibit:Hello Chardonnay, did you not get the memo? #itsstillwinter @DeBortoliWines #huntervalley http://t.co/va5YFIo? "
100,Enjoyable tomato risotto paired with a lightly oaked #chardonnay #wine at La Petite Ferme in #Franschhoek yesterday.
101,Marvin gay and Chardonnay   
102,3 people followed me // automatically checked by http://t.co/UvRkvNeAxf     
103,RT @JinkxMonsoon: This is how Jinkx double fists: chocolate milkshake and a polite glass of Chardonnay. http://t.co/DuD04ylk5w      
104,Chardonnay is legit #carname
105,"@vitibit:Hello Chardonnay, did you not get the memo? #itsstillwinter @DeBortoliWines #huntervalley http://t.co/va5YFIovxn how early is it?  "
106,@Werito_MM @bodegaPAS I like to mix it up but opted for a glass of the Chardonnay tonight #splendid 
107,I graduated pma in 2012 ? okay. this lexy? http://t.co/rvK5bT2SCL   
108,Hey ? wassup http://t.co/uBjDuOAovm 
109,Did u get a new text buddy ? naaw never had one http://t.co/Nlw7zUuGbH      
110,that's why I'm asking lol so I get to know you ? omg who are you though. http://t.co/A8qvhZA3aY     
111,And only in Northam would you meet a 3 year old called Chardonnay walking around with box wine! #BewilderBeast http://t.co/0wyIhmpBxl       
112,Text me then? ? iont know you http://t.co/H0mXakYApr
113,Lol FWM ? who is you? http://t.co/gqkPLwUXEv
114,"You text a lot of niggas? ? no, I really don't. http://t.co/gXnIITux8q      "
115,?@Sipp_ChardonNAY: Wanna see it? ? see your dick? no thank you I'm fine. http://t.co/S2UpBd9o0g?I'm bouta still send it to you tho  
116,Who did u meet?? ? a lot of people. I'm not gonna name them all. http://t.co/VhsbkLjRFd     
117,Wanna see it? ? see your dick? no thank you I'm fine. http://t.co/4Cy45CsuFU
118,Go to sleep wit that lil ass butt ? I'm caking lol. foh http://t.co/v7TOBsBuvl      
119,@Mz_Chardonnay why Sam...?  
120,"What about 7 inches for 19 yr old? ? ard, that's chilling http://t.co/oYpmRDKY3O    "
121,I want yu beautiful ? thanks. who's this? http://t.co/tFrkcoxF95    
122,I'm tryna eat it beat it an treat it ? you better beat yo ass somewhere else. http://t.co/bEztbmxCIL
123,"@LordDuval @colfinestone83 Asleep in the booze cage on top of the racking with a starbucks, box of chardonnay for a pillow? "
124,RT @JinkxMonsoon: This is how Jinkx double fists: chocolate milkshake and a polite glass of Chardonnay. http://t.co/DuD04ylk5w      
125,Ctfu yu funny tru dat ? slot of people do say I'm funny. sometimes I don't see it http://t.co/G4ApftQLou    
126,This was all inspired by a little Marvin Gaye and Chardonnay
127,You sexy sexy miss yu uoeno how beautiful yu r ? awee lol thanks. http://t.co/6PI2tOqV1t    
128,u think 5.5 inches dick is small or avg ? depending on your age it can be average. http://t.co/yk8NqJZH2O   
129,fresh pino or chardonnay    
130,Do you miss Shon ?? ? I actually do http://t.co/xmalFq3ngi  
131,Let me see yu twerk it ? I can do the money dance http://t.co/Q9UacKmW7E    
132,U r pretty babe lol ? thank you http://t.co/fADDzjGo5S      
133,#wine Vavasour Chardonnay Awatere Valley '12 w Prawn Ceviche w Buckwheat Salad &amp; Fat Loaf. Complex elegant w citrus fruit &amp; toasty Fr oak   
134,Late night jams: Lil Wayne Laptop: Web Surfin My Drank: Chardonnay #imsingle #singlelyfe #singlelivin #imhappy      
135,@nwordbrenden @jccarrasco_ @McDeezys I know the code to the gates at Chardonnay it's really not that hard Brayden   
136,2012 Ravensworth The Grainery Marsanne Viognier Roussanne Chardonnay - Good Food http://t.co/cyTWYh3xgN #wine       
137,@FallanSimone yes ma'am I liked the expensive stuff....but now I strictly drink only champagne and or chardonnay.   
138,Did meet anybody recently ? yes. http://t.co/NuzrTtvKdZ     
139,Ask me a question | http://t.co/7XlMzKFbfD  
140,RT @JinkxMonsoon: This is how Jinkx double fists: chocolate milkshake and a polite glass of Chardonnay. http://t.co/DuD04ylk5w      
141,This might be a terrible day :/     
142,@Clare_Lawlor92 My mom puts ice cubes in her Chardonnay     
143,RT @Leinyy_Nicole: and this was all inspired by a little Marvin Gaye and Chardonnay..       
144,and this was all inspired by a little Marvin Gaye and Chardonnay..  
145,"So I was just sitting there, mainlining Chardonnay. Trying to remember fun times.   "
146,Marvin Gaye and Chardonnay  
147,@kaitlyndp14 white. can?t pass up some chardonnay.  
148,Espresso and Chardonnay = Puppy Uppers and Doggie Downers   
149,RT @JinkxMonsoon: This is how Jinkx double fists: chocolate milkshake and a polite glass of Chardonnay. http://t.co/DuD04ylk5w      
150,"RT @HartenbergWine: Ladies, in celebration of Women's Day, join us for a complimentary glass of Chardonnay or Shiraz on Friday, 9 August! h?"
151,"RT @netw3rk: Fast-forward 15 years, Dez, chardonnay in hand, Facebook stalking Brooks at 3AM and crying as Chris sleeps.    "
152,RT @JinkxMonsoon: This is how Jinkx double fists: chocolate milkshake and a polite glass of Chardonnay. http://t.co/DuD04ylk5w      
153,RT @JinkxMonsoon: This is how Jinkx double fists: chocolate milkshake and a polite glass of Chardonnay. http://t.co/DuD04ylk5w      
154,"Pardon me, Escalade, marmalade, mama stay And I send 'em where stars'll play And the dude will cop a car today, color pink Chardonnay       "
155,RT @JinkxMonsoon: This is how Jinkx double fists: chocolate milkshake and a polite glass of Chardonnay. http://t.co/DuD04ylk5w      
156,RT @JinkxMonsoon: This is how Jinkx double fists: chocolate milkshake and a polite glass of Chardonnay. http://t.co/DuD04ylk5w      
157,@JinkxMonsoon: This is how Jinkx double fists: chocolate milkshake and a polite glass of Chardonnay http://t.co/fQAmZ19U4z oh bae u so cute 
158,RT @JinkxMonsoon: This is how Jinkx double fists: chocolate milkshake and a polite glass of Chardonnay. http://t.co/DuD04ylk5w      
159,RT @JinkxMonsoon: This is how Jinkx double fists: chocolate milkshake and a polite glass of Chardonnay. http://t.co/DuD04ylk5w      
160,RT @Gentlemenhood: Don't give the right attention to the wrong person.      
161,RT @JinkxMonsoon: This is how Jinkx double fists: chocolate milkshake and a polite glass of Chardonnay. http://t.co/DuD04ylk5w      
162,RT @JinkxMonsoon: This is how Jinkx double fists: chocolate milkshake and a polite glass of Chardonnay. http://t.co/DuD04ylk5w      
163,it's a black fly in new Chardonnay. #ironic #life #wine http://t.co/yjMhThUdyk      
164,Bubble bath and Chardonnay with the beastie 
165,RT @JinkxMonsoon: This is how Jinkx double fists: chocolate milkshake and a polite glass of Chardonnay. http://t.co/DuD04ylk5w      
166,RT @JinkxMonsoon: This is how Jinkx double fists: chocolate milkshake and a polite glass of Chardonnay. http://t.co/DuD04ylk5w      
167,This is how Jinkx double fists: chocolate milkshake and a polite glass of Chardonnay. http://t.co/DuD04ylk5w
168,"The matching canap?s for the Yering Station brackets of Chardonnay, Pinot Noir &amp; Shiraz-Viognier @ QT? http://t.co/gNzopQXbl3   "
169,@OfficialAuntieP I had a bad night deciding between chardonnay and sauvignon! @edstanley8 has it sorted. 2snackboxes after training #legend 
170,Guess ill Just Hit the Hay After a Lil Marvin Gaye &amp; Chardonnay Okay Hoooomay.  
171,RT @LindsRocksGreen: Well I can tell by this empty bottle of Chardonnay that it is bed time 
172,"RT @ChamisalVyd: @KFOX_XLDJ-TY 4 the #stainless #chardonnay shout out! We're in the Central COAST, ahem..Our #estate is less than 5 miles ? "
173,"Chardonnay and pineapple juice is absolutely wonderful. Seriously, try it some time."
174,Well I can tell by this empty bottle of Chardonnay that it is bed time      
175,Marvin Gaye and Chardonnay  
176,@BBpremiumpete are you kidding me?? She was the life of the party! #yellow #bbqchipotle #chardonnay #galaxys4       
177,Why did I say yes to these glasses of Chardonnay?   
178,RT @capewinereview: Waterford Estate Single Vineyard Chardonnay 2011 9... http://t.co/yzFSCl4m1D #wine #southafrica #chardonnay #stellenbos?
179,Thought: Is hoppy IPA beer the oaky chardonnay wine of this generation?     
180,@UltimateBGC where's Chardonnay     
181,"I hope this doesn't make me sound too mainstream, but Chardonnay is my favourite type of wine       "
182,I could really go for some Chardonnay Shrimp Pasta from BJ's.       
183,"The Pelorus Brut N/V is Chardonnay predominant, with green apple and red currant fruit and lively acidity. Now in store!    "
184,Drowning my sorrows in a bottle of Chardonnay. #cutecork #elephant #rolltide http://t.co/tQTe5XaWWd 
185,RT @4everCentriQ: @MrKing808 I like the chemistry between Blue and Keira and the friendship between Chardonnay and Tasha ... this is a real?
186,"RT @BIGMuza: When you are going through something hard and wonder where God is, always remember that the teacher is always quiet during a t?"
187,RT @karlalovepink_: The game is my shit Keira and blue are so cute poor Chardonnay tho      
188,RT @capewinereview: Waterford Estate Single Vineyard Chardonnay 2011 9... http://t.co/yzFSCl4m1D #wine #southafrica #chardonnay #stellenbos?
189,"Dinner &amp; Chardonnay, toppedoff with comedy!     "
190,Waterford Estate Single Vineyard Chardonnay 2011 9... http://t.co/yzFSCl4m1D #wine #southafrica #chardonnay #stellenbosch #joburg #kzn      
191,But teacherr i gotta LET ME STOP FOR U THINK IM retar... ? yo who is this? http://t.co/Xxc9FelYBo   
192,The game is my shit Keira and blue are so cute poor Chardonnay tho  
193,@nadaaselim thank you Chardonnay!!! I love you more :)      
194,RT @SmiLlexx: @Mz_Chardonnay I just remembered we had a candle lit dinner last night.. :''''''D     
195,Marvin Gay &amp; Chardonnay 
196,Marvin Gaye and Chardonnay  
197,You remember when the teacher told you to sit down bu... ? no I don't lol. I don't remember anything before the ... http://t.co/4diZVUHTq0  
198,I mean I can't complain about #winewednesday. Its good stuff this Chardonnay.       
199,"@eldridgeestate good news, long may the queen of Chardonnay reign   "
200,Chardonnay for the night I'm set    
201,"Marvin Gaye &amp; Chardonnay, was my shxt, I Use To Play It Before I Step Out .     "
202,Beer makes you fat. I prefer whiskey and Chardonnay #likeaSir       
203,@KatieDaryl How about a turkey sandwich and Chardonnay??????
204,?@rarias_453: Hol up give me that gimme that Marvin Gaye and Chardonnay shit but wait my conversation to complicated this bitch to basic ?  
205,Hol up give me that gimme that Marvin Gaye and Chardonnay shit but wait my conversation to complicated this bitch to basic  
206,RT @michael_lat: CHARDONNAY 
207,@Mz_Chardonnay I just remembered we had a candle lit dinner last night.. :''''''D   
208,So you remember you makin all them realistic beats (c... ? comment on an old picture so I know who you are. lol ... http://t.co/y09xCMeOjK  
209,Big Sean x Roscoe Dash x Marvin Gaye N Chardonnay   
210,Sippin' Chardonnay &amp; star gazing with my boyfriend. #thelife    
211,RT @LunaBasquiat: This was all inspired by a little Marvin Gaye &amp; Chardonnay    
212,This was all inspired by a little Marvin Gaye &amp; Chardonnay      
213,We're at a locals kinda place and here's my grandma ordering Chardonnay at the bar. 
214,Chardonnay Like Hoes Stay In Your Face.     
215,"RT @WineAlignReview: See a review for the Closson Chase Chardonnay 2011, VQA Prince Edward County, Closson Chase Vineyard, Unfiltered http:?"
216,Random thought why doesn't Tasha Mack stay guy free and just stay with Chardonnay for now? #TheGameBET @thegamewriters @TheGameBET  
217,like to eat I like to eat apples &amp; bannanooeess . Lin... ? I don't even remember what I had for breakfast. lol w... http://t.co/cdFo2Inhsz      
218,"RT @imahandyguy: A bottle of Chardonnay, a box of tissues and some late night #TardWeek @netflix movies. http://t.co/Iap6dLUert     "
219,"RT @imahandyguy: A bottle of Chardonnay, a box of tissues and some late night #TardWeek @netflix movies. http://t.co/Iap6dLUert     "
220,"@KFOX_XLDJ-TY 4 the #stainless #chardonnay shout out! We're in the Central COAST, ahem..Our #estate is less than 5 miles from the pacific.  "
221,"RT @imahandyguy: A bottle of Chardonnay, a box of tissues and some late night #TardWeek @netflix movies. http://t.co/Iap6dLUert     "
222,#chardonnay #LycheeMartini #Patron #Sake ...may I point out the fresh cedar wood that the sake is in? http://t.co/vVLkfpmxW9
223,"A bottle of Chardonnay, a box of tissues and some late night #TardWeek @netflix movies. http://t.co/Iap6dLUert      "
224,RT @theleanover: I'm playing this game called MILF Hunt where I walk around with a bottle of Chardonnay until some fine lady asks to join m?
225,"RT @FreeChiill: Y'all remember when Big Sean's Ass &amp; Marvin Gaye &amp; Chardonnay was everywhere? Smh, what were y'all thinking?"
226,"RT @FreeChiill: Y'all remember when Big Sean's Ass &amp; Marvin Gaye &amp; Chardonnay was everywhere? Smh, what were y'all thinking?"
227,"Y'all remember when Big Sean's Ass &amp; Marvin Gaye &amp; Chardonnay was everywhere? Smh, what were y'all thinking?"
228,RT @sinfulcupcakes1: Pear Cupcake with a Chardonnay infused frosting....so heavenly http://t.co/UAj363OV    
229,"A hot bath, a glass of Chardonnay, and pandora is on point  "
230,"RT @jasminehirsch: Word, sister! RT @sarahmchappell: Also, Chardonnay! Seriously. @HirschVineyards 2011 is proof that we all need to drink ?"
231,"#DidYouKnow that #Chardonnay, is the most popular #grape around the world? With over 120,000 hectares of plantation. #WineFact      "
232,"See a review for the Closson Chase Chardonnay 2011, VQA Prince Edward County, Closson Chase Vineyard, Unfiltered http://t.co/2m08LrcXq4     "
233,This bottle of Chardonnay explains my life perfectly http://t.co/D5lG3fIl4E 
234,"RT @LadiesWhoShoot: It scored 91 points @winecompanion, our @ladieswhoshoot #Chardonnay #aussiewine is now listed @Beveragetrade http://t.c?"
235,I really like Chardonnay. I don't know if its because I'm drunk or what. because its delicious.     
236,Drunk drinking Chardonnay because I'm trying to be classy   
237,Chardonnay sound better than it tastes!! I SWEAR!! NOOO #FUCKERY PLEASE #DontBelieveTheHype 
238,It's to set the mood girl I bought some Marvin and Chardonnay.      
239,?@OhDearOOMF: Cuddling with #oomf right now sounds perfect honestly.?       
240,Chardonnay always gives me mixed signals    
241,@HWifeinTraining well we could make different one's with cool names like a cabernet called #LoveAndHope a Chardonnay called #CandyBling     
242,RT @ChristianB_5: @taylor_woods5 @LynsWeb ... Anal and a 3way... We are going to need more Chardonnay....   
243,RT @ComedyTruth: If I text you all day then you must be doing something right.      
244,People that fall asleep on me&lt;&lt;&lt;&lt;&lt; #PetPeeve 
245,@taylor_woods5 @LynsWeb ... Anal and a 3way... We are going to need more Chardonnay....     
246,Just to set the mood he put some Marvin Gaye and Chardonnay 
247,RT @xiuminnesota: eating xiumin's ass with a side of caviar and some chardonnay. yum ;)     
248,2001 bottle of Chardonnay. #classy  
249,RT @Contract_cKilla: ?@_FuckTheHype_: Anytime I listen to Marvin Gaye and Chardonnay or She Will.. I Think Of Michael?sap ass       
250,eating xiumin's ass with a side of caviar and some chardonnay. yum ;)       
251,What's on your dinner plate tonight? - Try Apricot chicken with Esona Chardonnay 2011. http://t.co/7P3hw4PEY8       
252,RT @Contract_cKilla: ?@_FuckTheHype_: Anytime I listen to Marvin Gaye and Chardonnay or She Will.. I Think Of Michael? weed and pizza make ?
253,?@_FuckTheHype_: Anytime I listen to Marvin Gaye and Chardonnay or She Will.. I Think Of Michael? weed and pizza make me think of him bread2
254,Roomie: ?Lady Cawcaw aka caca? I spit my Chardonnay out     
255,RT @NuttelIa: who else is laying down on Twitter &amp; Instagram just scrolling...  
256,?@_FuckTheHype_: Anytime I listen to Marvin Gaye and Chardonnay or She Will.. I Think Of Michael?sap ass    
257,It's wine o'clock and we are enjoying a lovely glass of our Chairman's Chardonnay - Cheers Karl! #WineSelectors http://t.co/UErPLGvxZD      
258,Anytime I listen to Marvin Gaye and Chardonnay or She Will.. I Think Of Michael     
259,RT @NuttelIa: #IWontDateYouBecause you flirt with everything that has a pulse       
260,A little Marvin Gaye &amp; Chardonnay..     
261,?@typgirlprobzz: #confessyourunpopularopinion I don't watch Pretty Little Liars.?   
262,Ine like how twitter jail me when I was talking bout Chardonnay -.- -Mia    
263,Lol somebody is a little tipsy off of this wine lol @haitainbonita #tipsy #chardonnay #wine #bestie? http://t.co/rtzuWmdkF2 
264,"@JamesTheWineGuy you seem to taste several wines, you should check out 2011 Portal Del Alto Reserva Del Autor Chardonnay. Very nice. #chile "
265,"Yellow Tail Chardonnay, Joel? Seriously? I'm so disappointed in you, @joelmchale. #TheSoup #GetGlue http://t.co/s1GiYpUagD  "
266,Chardonnay dreams tonight   
267,"While I smoke, shorty sip chardonnay"
268,Chardonnay is gooood
269,"RT @JustChill_Cuh: Disney channel make bitches feel like they can sing, rap, dance &amp; cook!      "
270,Im sittin up hea watchin kim possible       
271,#Wine list dilemma!! Looking for a great #oaked #chardonnay to serve by the glass!!! Any suggestions?       
272,@Sipp_ChardonNAY right cool 
273,What dat nigga Big Sean say.. we can do it off this Marvin Gaye and Chardonnay      
274,RT @__QveenM: Lmfaoo yall is a ass if yall think Chardonnay is a virgin LIVEEEEE    
275,@ThatOG_Recce: @Sipp_ChardonNAY you good??yes. I'm fine.    
276,Mz.Chardonnay | BubbleShake http://t.co/ODWgM2cIr8  
277,Mz.Chardonnay | BubbleShake http://t.co/6nrj7VhZNc  
278,I tasted Sterling Vineyards Vintner's Collection Chardonnay 2011 and rated it 89/100 http://t.co/ysUtZipbLR 
279,"@__QveenM kml beii chardonnay, her mommy andddd her sister is tote lone dick at the same damn time  "
280,@__QveenM: Lmfaoo yall is a ass if yall think Chardonnay is a virgin MAN WAIT x________x LMAOO but forreal doe      
281,RT @jacytopps: I knew that $4 would have been better spent on a bottle of Trader Joe's Chardonnay #powerball
282,Lmfaoo yall is a ass if yall think Chardonnay is a virgin   
283,I knew that $4 would have been better spent on a bottle of Trader Joe's Chardonnay #powerball       
284,I reviewed Sterling Vineyards Vintner's Collection Chardonnay 2011 and rated it 89/100 http://t.co/ysUtZipbLR       
285,LMFAOOOOOOOOOOOOOO when w me &amp; trae was in the movies &amp; saw Chardonnay &gt; 
286,RT @Atreaeu_: I remember when Aniyah ask me if I is one of the boys that had sex with Chardonnay she whispering in the Movie I shout NO !   
287,RT @StephenBalme: Woodlands Chardonnay the best value outside chablis       
288,I remember when Aniyah ask me if I is one of the boys that had sex with Chardonnay she whispering in the Movie I shout NO ! 
289,Vibin wit my Chardonnay and my DVR  
290,You and Tamsin sitting in Lauren's apartment sharing a glass of chardonnay. It was champagne! Dude. Much worse. And a kiss...       
291,Quan be like gatormilk dh lol ? ctfuuu outta line. meow dh http://t.co/P6nxV81a2Q   
